RES,Subspace,Method,RUN,ACC
2,AllChPCA,KNN,1,1.94931773879142
2,AllChPCA,KNN,2,1.94931773879142
2,AllChPCA,KNN,3,2.14424951267057
2,AllChPCA,KNN,4,1.440329218107
2,AllChPCA,KNN,5,1.16959064327485
2,AllChPCA,KNN,6,1.94931773879142
2,AllChPCA,KNN,7,1.85185185185185
2,AllChPCA,KNN,8,1.55945419103314
2,AllChPCA,KNN,9,1.52505446623094
2,AllChPCA,KNN,10,2.67489711934156
2,AllChPCA,KNN,11,2.14424951267057
2,AllChPCA,KNN,12,2.33918128654971
2,AllChPCA,KNN,13,1.440329218107
2,AllChPCA,KNN,14,1.85185185185185
2,AllChPCA,KNN,15,1.52505446623094
2,AllChPCA,KNN,16,1.30718954248366
2,AllChPCA,KNN,17,1.38888888888889
2,AllChPCA,KNN,18,0.584795321637427
2,AllChPCA,KNN,19,1.96078431372549
2,AllChPCA,KNN,20,1.440329218107
2,AllChPCA,KNN,21,1.64609053497942
2,AllChPCA,KNN,22,1.23456790123457
2,AllChPCA,KNN,23,1.02880658436214
2,AllChPCA,KNN,24,1.440329218107
2,AllChPCA,KNN,25,1.85185185185185
2,AllChPCA,KNN,26,1.55945419103314
2,AllChPCA,KNN,27,1.02880658436214
2,AllChPCA,KNN,28,2.26337448559671
2,AllChPCA,KNN,29,0.925925925925926
2,AllChPCA,KNN,30,1.64609053497942
2,AllChPCA,KNN,31,1.16959064327485
2,AllChPCA,KNN,32,1.94931773879142
2,AllChPCA,KNN,33,1.75438596491228
2,AllChPCA,KNN,34,1.38888888888889
2,AllChPCA,KNN,35,1.52505446623094
2,AllChPCA,KNN,36,2.14424951267057
2,AllChPCA,KNN,37,1.52505446623094
2,AllChPCA,KNN,38,1.55945419103314
2,AllChPCA,KNN,39,1.74291938997821
2,AllChPCA,KNN,40,2.61437908496732
2,AllChPCA,RF,1,1.364522417154
2,AllChPCA,RF,2,1.75438596491228
2,AllChPCA,RF,3,0.974658869395711
2,AllChPCA,RF,4,1.23456790123457
2,AllChPCA,RF,5,1.16959064327485
2,AllChPCA,RF,6,1.55945419103314
2,AllChPCA,RF,7,1.64609053497942
2,AllChPCA,RF,8,1.16959064327485
2,AllChPCA,RF,9,1.52505446623094
2,AllChPCA,RF,10,2.05761316872428
2,AllChPCA,RF,11,1.364522417154
2,AllChPCA,RF,12,1.364522417154
2,AllChPCA,RF,13,0.823045267489712
2,AllChPCA,RF,14,1.440329218107
2,AllChPCA,RF,15,1.52505446623094
2,AllChPCA,RF,16,1.52505446623094
2,AllChPCA,RF,17,1.38888888888889
2,AllChPCA,RF,18,1.75438596491228
2,AllChPCA,RF,19,1.30718954248366
2,AllChPCA,RF,20,1.02880658436214
2,AllChPCA,RF,21,1.64609053497942
2,AllChPCA,RF,22,0.617283950617284
2,AllChPCA,RF,23,2.05761316872428
2,AllChPCA,RF,24,0.411522633744856
2,AllChPCA,RF,25,1.48148148148148
2,AllChPCA,RF,26,1.16959064327485
2,AllChPCA,RF,27,1.64609053497942
2,AllChPCA,RF,28,1.23456790123457
2,AllChPCA,RF,29,0.740740740740741
2,AllChPCA,RF,30,0.823045267489712
2,AllChPCA,RF,31,0.974658869395711
2,AllChPCA,RF,32,1.55945419103314
2,AllChPCA,RF,33,2.33918128654971
2,AllChPCA,RF,34,1.15740740740741
2,AllChPCA,RF,35,0.65359477124183
2,AllChPCA,RF,36,1.364522417154
2,AllChPCA,RF,37,1.96078431372549
2,AllChPCA,RF,38,1.364522417154
2,AllChPCA,RF,39,1.74291938997821
2,AllChPCA,RF,40,1.74291938997821
2,AllperCh,KNN,1,43.859649122807
2,AllperCh,KNN,2,42.6900584795322
2,AllperCh,KNN,3,42.3001949317739
2,AllperCh,KNN,4,39.3004115226338
2,AllperCh,KNN,5,37.2319688109162
2,AllperCh,KNN,6,47.3684210526316
2,AllperCh,KNN,7,44.4444444444444
2,AllperCh,KNN,8,39.5711500974659
2,AllperCh,KNN,9,41.8300653594771
2,AllperCh,KNN,10,41.9753086419753
2,AllperCh,KNN,11,42.3001949317739
2,AllperCh,KNN,12,39.1812865497076
2,AllperCh,KNN,13,44.0329218106996
2,AllperCh,KNN,14,43.4156378600823
2,AllperCh,KNN,15,32.2440087145969
2,AllperCh,KNN,16,35.7298474945534
2,AllperCh,KNN,17,38.8888888888889
2,AllperCh,KNN,18,46.3937621832359
2,AllperCh,KNN,19,33.115468409586
2,AllperCh,KNN,20,34.7736625514403
2,AllperCh,KNN,21,43.4156378600823
2,AllperCh,KNN,22,35.8024691358025
2,AllperCh,KNN,23,36.0082304526749
2,AllperCh,KNN,24,35.3909465020576
2,AllperCh,KNN,25,36.8518518518519
2,AllperCh,KNN,26,34.5029239766082
2,AllperCh,KNN,27,38.0658436213992
2,AllperCh,KNN,28,39.0946502057613
2,AllperCh,KNN,29,35
2,AllperCh,KNN,30,36.0082304526749
2,AllperCh,KNN,31,30.7992202729045
2,AllperCh,KNN,32,39.5711500974659
2,AllperCh,KNN,33,44.6393762183236
2,AllperCh,KNN,34,44.212962962963
2,AllperCh,KNN,35,41.6122004357298
2,AllperCh,KNN,36,37.4269005847953
2,AllperCh,KNN,37,41.6122004357298
2,AllperCh,KNN,38,34.1130604288499
2,AllperCh,KNN,39,39.6514161220044
2,AllperCh,KNN,40,41.3943355119826
2,AllperCh,RF,1,46.9785575048733
2,AllperCh,RF,2,45.224171539961
2,AllperCh,RF,3,40.7407407407407
2,AllperCh,RF,4,36.8312757201646
2,AllperCh,RF,5,38.0116959064328
2,AllperCh,RF,6,45.4191033138402
2,AllperCh,RF,7,39.917695473251
2,AllperCh,RF,8,41.5204678362573
2,AllperCh,RF,9,42.0479302832244
2,AllperCh,RF,10,46.7078189300411
2,AllperCh,RF,11,38.2066276803119
2,AllperCh,RF,12,38.7914230019493
2,AllperCh,RF,13,45.8847736625514
2,AllperCh,RF,14,41.358024691358
2,AllperCh,RF,15,34.4226579520697
2,AllperCh,RF,16,40.3050108932462
2,AllperCh,RF,17,37.037037037037
2,AllperCh,RF,18,40.3508771929825
2,AllperCh,RF,19,37.037037037037
2,AllperCh,RF,20,39.7119341563786
2,AllperCh,RF,21,39.917695473251
2,AllperCh,RF,22,37.037037037037
2,AllperCh,RF,23,38.0658436213992
2,AllperCh,RF,24,37.6543209876543
2,AllperCh,RF,25,39.8148148148148
2,AllperCh,RF,26,39.766081871345
2,AllperCh,RF,27,40.1234567901235
2,AllperCh,RF,28,37.8600823045268
2,AllperCh,RF,29,34.0740740740741
2,AllperCh,RF,30,33.3333333333333
